Code,typo
1313,Pôle urbain
1314,Couronne périurbaine
1317,Couronne périurbaine
1318,Couronne périurbaine
1319,Couronne périurbaine
1320,Couronne périurbaine
1321,Couronne périurbaine
1322,Pôle urbain
1323,Couronne périurbaine
1325,Couronne périurbaine
1328,Couronne périurbaine
1329,Espace rural
1330,Espace rural
1331,Espace rural
1332,Couronne périurbaine
1333,Couronne périurbaine
1334,Couronne périurbaine
1335,Couronne périurbaine
1336,Couronne périurbaine
1337,Couronne périurbaine
1338,Couronne périurbaine
1339,Pôle urbain
1342,Couronne périurbaine
1343,Couronne périurbaine
1344,Pôle urbain
1345,Couronne périurbaine
1346,Couronne périurbaine
1347,Pôle urbain
1348,Couronne périurbaine
1349,Couronne périurbaine
1350,Couronne périurbaine
1351,Couronne périurbaine
1352,Couronne périurbaine
1353,Pôle urbain
1354,Pôle urbain
1355,Couronne périurbaine
1356,Couronne périurbaine
1357,Espace rural
1358,Couronne périurbaine
1359,Couronne périurbaine
1360,Couronne périurbaine
1361,Couronne périurbaine
1362,Couronne périurbaine
1363,Couronne périurbaine
1364,Couronne périurbaine
1365,Couronne périurbaine
1366,Couronne périurbaine
1367,Couronne périurbaine
1368,Couronne périurbaine
1369,Pôle urbain
1370,Pôle urbain
1371,Couronne périurbaine
1372,Espace rural
1373,Espace rural
1374,Couronne périurbaine
1375,Couronne périurbaine
1376,Pôle urbain
1378,Couronne périurbaine
1379,Couronne périurbaine
1380,Couronne périurbaine
1381,Couronne périurbaine
1382,Couronne périurbaine
1383,Couronne périurbaine
1384,Couronne périurbaine
1385,Couronne périurbaine
1386,Couronne périurbaine
1387,Couronne périurbaine
1388,Espace rural
1389,Couronne périurbaine
1390,Couronne périurbaine
1391,Couronne périurbaine
1392,Couronne périurbaine
1393,Couronne périurbaine
1396,Couronne périurbaine
1397,Couronne périurbaine
1398,Couronne périurbaine
1399,Couronne périurbaine
1400,Couronne périurbaine
1401,Pôle urbain
1402,Espace rural
1403,Couronne périurbaine
1404,Couronne périurbaine
1405,Couronne périurbaine
1406,Couronne périurbaine
1407,Espace rural
1408,Couronne périurbaine
1410,Espace rural
1411,Couronne périurbaine
1412,Couronne périurbaine
1415,Espace rural
1416,Couronne périurbaine
1418,Couronne périurbaine
1419,Pôle urbain
1420,Couronne périurbaine
1421,Couronne périurbaine
1422,Couronne périurbaine
1423,Pôle urbain
1424,Couronne périurbaine
1425,Couronne périurbaine
1426,Couronne périurbaine
1427,Pôle urbain
1428,Couronne périurbaine
1429,Couronne périurbaine
1430,Couronne périurbaine
1431,Couronne périurbaine
1432,Couronne périurbaine
1433,Espace rural
1434,Couronne périurbaine
1435,Couronne périurbaine
1436,Couronne périurbaine
1437,Espace rural
1439,Couronne périurbaine
1441,Espace rural
1443,Couronne périurbaine
1444,Couronne périurbaine
1445,Couronne périurbaine
1446,Couronne périurbaine
1447,Couronne périurbaine
1448,Espace rural
1449,Couronne périurbaine
1450,Couronne périurbaine
1451,Pôle urbain
1452,Espace rural
1453,Espace rural
1454,Couronne périurbaine
1456,Espace rural
1457,Couronne périurbaine
2001,Espace rural
2002,Espace rural
2003,Couronne périurbaine
2004,Espace rural
2005,Couronne périurbaine
2006,Espace rural
2007,Couronne périurbaine
2008,Couronne périurbaine
2009,Couronne périurbaine
2010,Couronne périurbaine
2011,Couronne périurbaine
2012,Couronne périurbaine
2013,Couronne périurbaine
2014,Espace rural
2015,Couronne périurbaine
2016,Pôle urbain
2017,Espace rural
2018,Couronne périurbaine
2019,Espace rural
2020,Espace rural
2021,Espace rural
2022,Couronne périurbaine
2023,Couronne périurbaine
2024,Couronne périurbaine
2025,Couronne périurbaine
2027,Couronne périurbaine
2028,Pôle urbain
2029,Couronne périurbaine
2030,Couronne périurbaine
2031,Espace rural
