CODGEO,LIBGEO,LIBEPCI,DEP,REG
1127,Courmangoux,CA du Bassin de Bourg-en-Bresse,1,84
1128,Courtes,CA du Bassin de Bourg-en-Bresse,1,84
1129,Crans,CC de la Dombes,1,84
1130,Bresse Vallons,CA du Bassin de Bourg-en-Bresse,1,84
1133,Cressin-Rochefort,CC Bugey Sud,1,84
1134,Crottet,CC de la Veyle,1,84
1135,Crozet,CA du Pays de Gex,1,84
1136,Cruzilles-lès-Mépillat,CC de la Veyle,1,84
1138,Culoz,CC Bugey Sud,1,84
1139,Curciat-Dongalon,CA du Bassin de Bourg-en-Bresse,1,84
1140,Curtafond,CA du Bassin de Bourg-en-Bresse,1,84
1141,Cuzieu,CC Bugey Sud,1,84
1142,Dagneux,CC de la Côtière à Montluel,1,84
1143,Divonne-les-Bains,CA du Pays de Gex,1,84
1145,Dompierre-sur-Veyle,CA du Bassin de Bourg-en-Bresse,1,84
1146,Dompierre-sur-Chalaronne,CC de la Dombes,1,84
1147,Domsure,CA du Bassin de Bourg-en-Bresse,1,84
1148,Dortan,CA Haut - Bugey Agglomération,1,84
1149,Douvres,CC de la Plaine de l'Ain,1,84
1150,Drom,CA du Bassin de Bourg-en-Bresse,1,84
1151,Druillat,CA du Bassin de Bourg-en-Bresse,1,84
1152,Échallon,CA Haut - Bugey Agglomération,1,84
1153,Échenevex,CA du Pays de Gex,1,84
1155,Évosges,CA Haut - Bugey Agglomération,1,84
1156,Faramans,CC de la Plaine de l'Ain,1,84
1157,Fareins,CC Dombes Saône Vallée,1,84
1158,Farges,CA du Pays de Gex,1,84
1159,Feillens,CC Bresse et Saône,1,84
1160,Ferney-Voltaire,CA du Pays de Gex,1,84
1162,Flaxieu,CC Bugey Sud,1,84
1163,Foissiat,CA du Bassin de Bourg-en-Bresse,1,84
1165,Francheleins,CC Val de Saône Centre,1,84
1166,Frans,CC Dombes Saône Vallée,1,84
1167,Garnerans,CC Val de Saône Centre,1,84
1169,Genouilleux,CC Val de Saône Centre,1,84
1170,Béard-Géovreissiat,CA Haut - Bugey Agglomération,1,84
1171,Géovreisset,CA Haut - Bugey Agglomération,1,84
1173,Gex,CA du Pays de Gex,1,84
1174,Giron,CC du Pays Bellegardien (CCPB),1,84
1175,Gorrevod,CC Bresse et Saône,1,84
1177,Grand-Corent,CA du Bassin de Bourg-en-Bresse,1,84
1179,Grièges,CC de la Veyle,1,84
1180,Grilly,CA du Pays de Gex,1,84
1181,Groissiat,CA Haut - Bugey Agglomération,1,84
1183,Guéreins,CC Val de Saône Centre,1,84
1184,Hautecourt-Romanèche,CA du Bassin de Bourg-en-Bresse,1,84
1185,Plateau d'Hauteville,CA Haut - Bugey Agglomération,1,84
1187,Haut Valromey,CC Bugey Sud,1,84
1188,Illiat,CC Val de Saône Centre,1,84
1189,Injoux-Génissiat,CC du Pays Bellegardien (CCPB),1,84
1190,Innimond,CC de la Plaine de l'Ain,1,84
1191,Izenave,CA Haut - Bugey Agglomération,1,84
1192,Izernore,CA Haut - Bugey Agglomération,1,84
1193,Izieu,CC Bugey Sud,1,84
1194,Jassans-Riottier,CA Villefranche Beaujolais Saône,1,84
1195,Jasseron,CA du Bassin de Bourg-en-Bresse,1,84
1196,Jayat,CA du Bassin de Bourg-en-Bresse,1,84
1197,Journans,CA du Bassin de Bourg-en-Bresse,1,84
1198,Joyeux,CC de la Plaine de l'Ain,1,84
1199,Jujurieux,CC Rives de l'Ain - Pays du Cerdon,1,84
1200,Labalme,CC Rives de l'Ain - Pays du Cerdon,1,84
1202,Lagnieu,CC de la Plaine de l'Ain,1,84
1203,Laiz,CC de la Veyle,1,84
1204,Le Poizat-Lalleyriat,CA Haut - Bugey Agglomération,1,84
1206,Lantenay,CA Haut - Bugey Agglomération,1,84
1207,Lapeyrouse,CC de la Dombes,1,84
1208,Lavours,CC Bugey Sud,1,84
1209,Léaz,CA du Pays de Gex,1,84
1210,Lélex,CA du Pays de Gex,1,84
1211,Lent,CA du Bassin de Bourg-en-Bresse,1,84
1212,Lescheroux,CA du Bassin de Bourg-en-Bresse,1,84
1213,Leyment,CC de la Plaine de l'Ain,1,84
1214,Leyssard,CA Haut - Bugey Agglomération,1,84
1215,Surjoux-Lhopital,CC du Pays Bellegardien (CCPB),1,84
1216,Lhuis,CC de la Plaine de l'Ain,1,84
1219,Lompnas,CC de la Plaine de l'Ain,1,84
1224,Loyettes,CC de la Plaine de l'Ain,1,84
1225,Lurcy,CC Val de Saône Centre,1,84
1227,Magnieu,CC Bugey Sud,1,84
1228,Maillat,CA Haut - Bugey Agglomération,1,84
1229,Malafretaz,CA du Bassin de Bourg-en-Bresse,1,84
1230,Mantenay-Montlin,CA du Bassin de Bourg-en-Bresse,1,84
1231,Manziat,CC Bresse et Saône,1,84
1232,Marboz,CA du Bassin de Bourg-en-Bresse,1,84
1233,Marchamp,CC de la Plaine de l'Ain,1,84
1234,Marignieu,CC Bugey Sud,1,84
1235,Marlieux,CC de la Dombes,1,84
1236,Marsonnas,CA du Bassin de Bourg-en-Bresse,1,84
1237,Martignat,CA Haut - Bugey Agglomération,1,84
1238,Massieux,CC Dombes Saône Vallée,1,84
1239,Massignieu-de-Rives,CC Bugey Sud,1,84
1240,Matafelon-Granges,CA Haut - Bugey Agglomération,1,84
1241,Meillonnas,CA du Bassin de Bourg-en-Bresse,1,84
1242,Mérignat,CC Rives de l'Ain - Pays du Cerdon,1,84
1243,Messimy-sur-Saône,CC Val de Saône Centre,1,84
1244,Meximieux,CC de la Plaine de l'Ain,1,84
1245,Bohas-Meyriat-Rignat,CA du Bassin de Bourg-en-Bresse,1,84
1246,Mézériat,CC de la Veyle,1,84
1247,Mijoux,CA du Pays de Gex,1,84
1248,Mionnay,CC de la Dombes,1,84
1249,Miribel,CC de Miribel et du Plateau,1,84
1250,Misérieux,CC Dombes Saône Vallée,1,84
1252,Mogneneins,CC Val de Saône Centre,1,84
1254,Montagnat,CA du Bassin de Bourg-en-Bresse,1,84
1255,Montagnieu,CC de la Plaine de l'Ain,1,84
1257,Montanges,CC du Pays Bellegardien (CCPB),1,84
1258,Montceaux,CC Val de Saône Centre,1,84
1259,Montcet,CA du Bassin de Bourg-en-Bresse,1,84
1260,Le Montellier,CC de la Plaine de l'Ain,1,84
1261,Monthieux,CC de la Dombes,1,84
1262,Montluel,CC de la Côtière à Montluel,1,84
1263,Montmerle-sur-Saône,CC Val de Saône Centre,1,84
1264,Montracol,CA du Bassin de Bourg-en-Bresse,1,84
1265,Montréal-la-Cluse,CA Haut - Bugey Agglomération,1,84
1266,Montrevel-en-Bresse,CA du Bassin de Bourg-en-Bresse,1,84
1267,Nurieux-Volognat,CA Haut - Bugey Agglomération,1,84
1268,Murs-et-Gélignieux,CC Bugey Sud,1,84
1269,Nantua,CA Haut - Bugey Agglomération,1,84
1272,Neuville-les-Dames,CC de la Dombes,1,84
1273,Neuville-sur-Ain,CC Rives de l'Ain - Pays du Cerdon,1,84
1274,Les Neyrolles,CA Haut - Bugey Agglomération,1,84
1275,Neyron,CC de Miribel et du Plateau,1,84
1276,Niévroz,CC de la Côtière à Montluel,1,84
1277,Nivollet-Montgriffon,CC de la Plaine de l'Ain,1,84
1279,Oncieu,CC de la Plaine de l'Ain,1,84
1280,Ordonnaz,CC de la Plaine de l'Ain,1,84
1281,Ornex,CA du Pays de Gex,1,84
1282,Outriaz,CA Haut - Bugey Agglomération,1,84
1283,Oyonnax,CA Haut - Bugey Agglomération,1,84
1284,Ozan,CC Bresse et Saône,1,84
1285,Parcieux,CC Dombes Saône Vallée,1,84
1286,Parves et Nattages,CC Bugey Sud,1,84
1288,Péron,CA du Pays de Gex,1,84
1289,Péronnas,CA du Bassin de Bourg-en-Bresse,1,84
1290,Pérouges,CC de la Plaine de l'Ain,1,84
1291,Perrex,CC de la Veyle,1,84
1293,Peyriat,CA Haut - Bugey Agglomération,1,84
1294,Peyrieu,CC Bugey Sud,1,84
1295,Peyzieux-sur-Saône,CC Val de Saône Centre,1,84
1296,Pirajoux,CA du Bassin de Bourg-en-Bresse,1,84
1297,Pizay,CC de la Côtière à Montluel,1,84
1298,Plagne,CC du Pays Bellegardien (CCPB),1,84
1299,Le Plantay,CC de la Dombes,1,84
1301,Polliat,CA du Bassin de Bourg-en-Bresse,1,84
1302,Pollieu,CC Bugey Sud,1,84
1303,Poncin,CC Rives de l'Ain - Pays du Cerdon,1,84
1304,Pont-d'Ain,CC Rives de l'Ain - Pays du Cerdon,1,84
1305,Pont-de-Vaux,CC Bresse et Saône,1,84
1306,Pont-de-Veyle,CC de la Veyle,1,84
1307,Port,CA Haut - Bugey Agglomération,1,84
1308,Pougny,CA du Pays de Gex,1,84
1309,Pouillat,CA du Bassin de Bourg-en-Bresse,1,84
1310,Prémeyzel,CC Bugey Sud,1,84
1311,Prémillieu,CA Haut - Bugey Agglomération,1,84
1313,Prévessin-Moëns,CA du Pays de Gex,1,84
1314,Priay,CC Rives de l'Ain - Pays du Cerdon,1,84
1317,Ramasse,CA du Bassin de Bourg-en-Bresse,1,84
1318,Rancé,CC Dombes Saône Vallée,1,84
1319,Relevant,CC de la Dombes,1,84
1320,Replonges,CC Bresse et Saône,1,84
1321,Revonnas,CA du Bassin de Bourg-en-Bresse,1,84
1322,Reyrieux,CC Dombes Saône Vallée,1,84
1323,Reyssouze,CC Bresse et Saône,1,84
1325,Rignieux-le-Franc,CC de la Plaine de l'Ain,1,84
1328,Romans,CC de la Dombes,1,84
1329,Rossillon,CC Bugey Sud,1,84
1330,Ruffieu,CC Bugey Sud,1,84
1331,Saint-Alban,CC Rives de l'Ain - Pays du Cerdon,1,84
1332,Saint-André-de-Bâgé,CC Bresse et Saône,1,84
1333,Saint-André-de-Corcy,CC de la Dombes,1,84
1334,Saint-André-d'Huiriat,CC de la Veyle,1,84
1335,Saint-André-le-Bouchoux,CC de la Dombes,1,84
1336,Saint-André-sur-Vieux-Jonc,CA du Bassin de Bourg-en-Bresse,1,84
1337,Saint-Bénigne,CC Bresse et Saône,1,84
1338,Groslée-Saint-Benoit,CC Bugey Sud,1,84
1339,Saint-Bernard,CC Dombes Saône Vallée,1,84
1342,Sainte-Croix,CC de la Côtière à Montluel,1,84
1343,Saint-Cyr-sur-Menthon,CC de la Veyle,1,84
1344,Saint-Denis-lès-Bourg,CA du Bassin de Bourg-en-Bresse,1,84
1345,Saint-Denis-en-Bugey,CC de la Plaine de l'Ain,1,84
1346,Saint-Didier-d'Aussiat,CA du Bassin de Bourg-en-Bresse,1,84
1347,Saint-Didier-de-Formans,CC Dombes Saône Vallée,1,84
1348,Saint-Didier-sur-Chalaronne,CC Val de Saône Centre,1,84
1349,Saint-Éloi,CC de la Plaine de l'Ain,1,84
1350,Saint-Étienne-du-Bois,CA du Bassin de Bourg-en-Bresse,1,84
1351,Saint-Étienne-sur-Chalaronne,CC Val de Saône Centre,1,84
1352,Saint-Étienne-sur-Reyssouze,CC Bresse et Saône,1,84
1353,Sainte-Euphémie,CC Dombes Saône Vallée,1,84
1354,Saint-Genis-Pouilly,CA du Pays de Gex,1,84
1355,Saint-Genis-sur-Menthon,CC de la Veyle,1,84
1356,Saint-Georges-sur-Renon,CC de la Dombes,1,84
1357,Saint-Germain-de-Joux,CC du Pays Bellegardien (CCPB),1,84
1358,Saint-Germain-les-Paroisses,CC Bugey Sud,1,84
1359,Saint-Germain-sur-Renon,CC de la Dombes,1,84
1360,Saint-Jean-de-Gonville,CA du Pays de Gex,1,84
1361,Saint-Jean-de-Niost,CC de la Plaine de l'Ain,1,84
1362,Saint-Jean-de-Thurigneux,CC Dombes Saône Vallée,1,84
1363,Saint-Jean-le-Vieux,CC Rives de l'Ain - Pays du Cerdon,1,84
1364,Saint-Jean-sur-Reyssouze,CA du Bassin de Bourg-en-Bresse,1,84
1365,Saint-Jean-sur-Veyle,CC de la Veyle,1,84
1366,Sainte-Julie,CC de la Plaine de l'Ain,1,84
1367,Saint-Julien-sur-Reyssouze,CA du Bassin de Bourg-en-Bresse,1,84
1368,Saint-Julien-sur-Veyle,CC de la Veyle,1,84
1369,Saint-Just,CA du Bassin de Bourg-en-Bresse,1,84
1370,Saint-Laurent-sur-Saône,CA Mâconnais Beaujolais Agglomération,1,84
1371,Saint-Marcel,CC de la Dombes,1,84
1372,Saint-Martin-de-Bavel,CC Bugey Sud,1,84
1373,Saint-Martin-du-Frêne,CA Haut - Bugey Agglomération,1,84
1374,Saint-Martin-du-Mont,CA du Bassin de Bourg-en-Bresse,1,84
1375,Saint-Martin-le-Châtel,CA du Bassin de Bourg-en-Bresse,1,84
1376,Saint-Maurice-de-Beynost,CC de Miribel et du Plateau,1,84
1378,Saint-Maurice-de-Gourdans,CC de la Plaine de l'Ain,1,84
1379,Saint-Maurice-de-Rémens,CC de la Plaine de l'Ain,1,84
1380,Saint-Nizier-le-Bouchoux,CA du Bassin de Bourg-en-Bresse,1,84
1381,Saint-Nizier-le-Désert,CC de la Dombes,1,84
1382,Sainte-Olive,CC de la Dombes,1,84
1383,Saint-Paul-de-Varax,CC de la Dombes,1,84
1384,Saint-Rambert-en-Bugey,CC de la Plaine de l'Ain,1,84
1385,Saint-Rémy,CA du Bassin de Bourg-en-Bresse,1,84
1386,Saint-Sorlin-en-Bugey,CC de la Plaine de l'Ain,1,84
1387,Saint-Sulpice,CA du Bassin de Bourg-en-Bresse,1,84
1388,Saint-Trivier-de-Courtes,CA du Bassin de Bourg-en-Bresse,1,84
1389,Saint-Trivier-sur-Moignans,CC de la Dombes,1,84
1390,Saint-Vulbas,CC de la Plaine de l'Ain,1,84
1391,Salavre,CA du Bassin de Bourg-en-Bresse,1,84
1392,Samognat,CA Haut - Bugey Agglomération,1,84
1393,Sandrans,CC de la Dombes,1,84
1396,Sault-Brénaz,CC de la Plaine de l'Ain,1,84
1397,Sauverny,CA du Pays de Gex,1,84
1398,Savigneux,CC Dombes Saône Vallée,1,84
1399,Ségny,CA du Pays de Gex,1,84
1400,Seillonnaz,CC de la Plaine de l'Ain,1,84
1401,Sergy,CA du Pays de Gex,1,84
1402,Sermoyer,CC Bresse et Saône,1,84
1403,Serrières-de-Briord,CC de la Plaine de l'Ain,1,84
1404,Serrières-sur-Ain,CC Rives de l'Ain - Pays du Cerdon,1,84
1405,Servas,CA du Bassin de Bourg-en-Bresse,1,84
1406,Servignat,CA du Bassin de Bourg-en-Bresse,1,84
1407,Seyssel,CC Usses et Rhône,1,84
1408,Simandre-sur-Suran,CA du Bassin de Bourg-en-Bresse,1,84
1410,Sonthonnax-la-Montagne,CA Haut - Bugey Agglomération,1,84
1411,Souclin,CC de la Plaine de l'Ain,1,84
1412,Sulignat,CC de la Dombes,1,84
1415,Talissieu,CC Bugey Sud,1,84
1416,Tenay,CC de la Plaine de l'Ain,1,84
1418,Thil,CC de Miribel et du Plateau,1,84
1419,Thoiry,CA du Pays de Gex,1,84
1420,Thoissey,CC Val de Saône Centre,1,84
1421,Torcieu,CC de la Plaine de l'Ain,1,84
1422,Tossiat,CA du Bassin de Bourg-en-Bresse,1,84
1423,Toussieux,CC Dombes Saône Vallée,1,84
1424,Tramoyes,CC de Miribel et du Plateau,1,84
1425,La Tranclière,CA du Bassin de Bourg-en-Bresse,1,84
1426,Val-Revermont,CA du Bassin de Bourg-en-Bresse,1,84
1427,Trévoux,CC Dombes Saône Vallée,1,84
1428,Valeins,CC de la Dombes,1,84
1429,Vandeins,CA du Bassin de Bourg-en-Bresse,1,84
1430,Varambon,CC Rives de l'Ain - Pays du Cerdon,1,84
1431,Vaux-en-Bugey,CC de la Plaine de l'Ain,1,84
1432,Verjon,CA du Bassin de Bourg-en-Bresse,1,84
1433,Vernoux,CA du Bassin de Bourg-en-Bresse,1,84
1434,Versailleux,CC de la Dombes,1,84
1435,Versonnex,CA du Pays de Gex,1,84
1436,Vesancy,CA du Pays de Gex,1,84
1437,Vescours,CA du Bassin de Bourg-en-Bresse,1,84
1439,Vésines,CC Bresse et Saône,1,84
1441,Vieu-d'Izenave,CA Haut - Bugey Agglomération,1,84
1443,Villars-les-Dombes,CC de la Dombes,1,84
1444,Villebois,CC de la Plaine de l'Ain,1,84
1445,Villemotier,CA du Bassin de Bourg-en-Bresse,1,84
1446,Villeneuve,CC Dombes Saône Vallée,1,84
1447,Villereversure,CA du Bassin de Bourg-en-Bresse,1,84
1448,Villes,CC du Pays Bellegardien (CCPB),1,84
1449,Villette-sur-Ain,CC de la Dombes,1,84
1450,Villieu-Loyes-Mollon,CC de la Plaine de l'Ain,1,84
1451,Viriat,CA du Bassin de Bourg-en-Bresse,1,84
1452,Virieu-le-Grand,CC Bugey Sud,1,84
1453,Arvière-en-Valromey,CC Bugey Sud,1,84
1454,Virignin,CC Bugey Sud,1,84
1456,Vongnes,CC Bugey Sud,1,84
1457,Vonnas,CC de la Veyle,1,84
2001,Abbécourt,CA Chauny-Tergnier-La Fère,2,32
2002,Achery,CA Chauny-Tergnier-La Fère,2,32
2003,Acy,CA GrandSoissons Agglomération,2,32
2004,Agnicourt-et-Séchelles,CC du Pays de la Serre,2,32
2005,Aguilcourt,CC de la Champagne Picarde,2,32
2006,Aisonville-et-Bernoville,CC Thiérache Sambre et Oise,2,32
2007,Aizelles,CC du Chemin des Dames,2,32
2008,Aizy-Jouy,CC du Val de l'Aisne,2,32
2009,Alaincourt,CC du Val de l'Oise,2,32
2010,Allemant,CC du Val de l'Aisne,2,32
2011,Ambleny,CC Retz-en-Valois,2,32
2012,Ambrief,CC du Canton d'Oulchy-le-Château,2,32
2013,Amifontaine,CC de la Champagne Picarde,2,32
2014,Amigny-Rouy,CA Chauny-Tergnier-La Fère,2,32
2015,Ancienville,CC Retz-en-Valois,2,32
2016,Andelain,CA Chauny-Tergnier-La Fère,2,32
2017,Anguilcourt-le-Sart,CA Chauny-Tergnier-La Fère,2,32
2018,Anizy-le-Grand,CC Picardie des Châteaux,2,32
2019,Annois,CA du Saint-Quentinois,2,32
2020,Any-Martin-Rieux,CC des Trois Rivières,2,32
2021,Archon,CC des Portes de la Thiérache,2,32
2022,Arcy-Sainte-Restitue,CC du Canton d'Oulchy-le-Château,2,32
2023,Armentières-sur-Ourcq,CA de la Région de Château-Thierry,2,32
2024,Arrancy,CA du Pays de Laon,2,32
2025,Artemps,CA du Saint-Quentinois,2,32
2027,Assis-sur-Serre,CC du Pays de la Serre,2,32
2028,Athies-sous-Laon,CA du Pays de Laon,2,32
2029,Attilly,CC du Pays du Vermandois,2,32
2030,Aubencheul-aux-Bois,CC du Pays du Vermandois,2,32
2031,Aubenton,CC des Trois Rivières,2,32
2032,Aubigny-aux-Kaisnes,CA du Saint-Quentinois,2,32
2033,Aubigny-en-Laonnois,CC du Chemin des Dames,2,32
2034,Audignicourt,CC Retz-en-Valois,2,32
2035,Audigny,CC Thiérache Sambre et Oise,2,32
2036,Augy,CC du Val de l'Aisne,2,32
2037,Aulnois-sous-Laon,CA du Pays de Laon,2,32
2038,Les Autels,CC des Portes de la Thiérache,2,32
2039,Autremencourt,CC du Pays de la Serre,2,32
2040,Autreppes,CC de la Thiérache du Centre,2,32
2041,Autreville,CA Chauny-Tergnier-La Fère,2,32
2042,Azy-sur-Marne,CA de la Région de Château-Thierry,2,32
2043,Bagneux,CA GrandSoissons Agglomération,2,32
2044,Bancigny,CC de la Thiérache du Centre,2,32
2046,Barenton-Bugny,CC du Pays de la Serre,2,32
2047,Barenton-Cel,CC du Pays de la Serre,2,32
2048,Barenton-sur-Serre,CC du Pays de la Serre,2,32
2049,Barisis-aux-Bois,CC Picardie des Châteaux,2,32
2050,Barzy-en-Thiérache,CC de la Thiérache du Centre,2,32
2051,Barzy-sur-Marne,CA de la Région de Château-Thierry,2,32
2052,Bassoles-Aulers,CC Picardie des Châteaux,2,32
2053,Vallées en Champagne,CA de la Région de Château-Thierry,2,32
2054,Bazoches-sur-Vesles,CC du Val de l'Aisne,2,32
2055,Beaumé,CC des Trois Rivières,2,32
2056,Beaumont-en-Beine,CA Chauny-Tergnier-La Fère,2,32
2057,Beaurevoir,CC du Pays du Vermandois,2,32
2058,Beaurieux,CC du Chemin des Dames,2,32
2059,Beautor,CA Chauny-Tergnier-La Fère,2,32
2060,Beauvois-en-Vermandois,CC du Pays du Vermandois,2,32
2061,Becquigny,CC du Pays du Vermandois,2,32
2062,Belleau,CA de la Région de Château-Thierry,2,32
2063,Bellenglise,CC du Pays du Vermandois,2,32
2064,Belleu,CA GrandSoissons Agglomération,2,32
2065,Bellicourt,CC du Pays du Vermandois,2,32
2066,Benay,CC du Val de l'Oise,2,32
2067,Bergues-sur-Sambre,CC de la Thiérache du Centre,2,32
2068,Berlancourt,CC de la Thiérache du Centre,2,32
2069,Berlise,CC des Portes de la Thiérache,2,32
2070,Bernot,CC Thiérache Sambre et Oise,2,32
2071,Berny-Rivière,CC Retz-en-Valois,2,32
2072,Berrieux,CC du Chemin des Dames,2,32
2073,Berry-au-Bac,CC de la Champagne Picarde,2,32
2074,Bertaucourt-Epourdon,CA Chauny-Tergnier-La Fère,2,32
2075,Berthenicourt,CC du Val de l'Oise,2,32
2076,Bertricourt,CC de la Champagne Picarde,2,32
2077,Berzy-le-Sec,CA GrandSoissons Agglomération,2,32
2078,Besmé,CC Picardie des Châteaux,2,32
2079,Besmont,CC des Trois Rivières,2,32
2080,Besny-et-Loizy,CA du Pays de Laon,2,32
2081,Béthancourt-en-Vaux,CA Chauny-Tergnier-La Fère,2,32
